NOV;MAKROELEM;THK;MINOSITES;FAJLAGOS
silókukorica;Nitrogen;5;igen gyenge;0,75
silókukorica;Nitrogen;5;gyenge;0,65
silókukorica;Nitrogen;5;közepes;0,45
silókukorica;Nitrogen;5;jó;0,4
silókukorica;Nitrogen;5;igen jó;0,3
silókukorica;Nitrogen;6;igen gyenge;0,7
silókukorica;Nitrogen;6;gyenge;0,6
silókukorica;Nitrogen;6;közepes;0,5
silókukorica;Nitrogen;6;jó;0,4
silókukorica;Nitrogen;6;igen jó;0,3
silókukorica;Foszfor;1;igen gyenge;0,35
silókukorica;Foszfor;1;gyenge;0,3
silókukorica;Foszfor;1;közepes;0,25
silókukorica;Foszfor;1;jó;0,15
silókukorica;Foszfor;1;igen jó;0,1
silókukorica;Foszfor;2;igen gyenge;0,4
silókukorica;Foszfor;2;gyenge;0,35
silókukorica;Foszfor;2;közepes;0,3
silókukorica;Foszfor;2;jó;0,2
silókukorica;Foszfor;2;igen jó;0,1
silókukorica;Foszfor;3;igen gyenge;0,3
silókukorica;Foszfor;3;gyenge;0,25
silókukorica;Foszfor;3;közepes;0,2
silókukorica;Foszfor;3;jó;0,15
silókukorica;Foszfor;3;igen jó;0,1
silókukorica;Foszfor;4;igen gyenge;0,5
silókukorica;Foszfor;4;gyenge;0,45
silókukorica;Foszfor;4;közepes;0,35
silókukorica;Foszfor;4;jó;0,25
silókukorica;Foszfor;4;igen jó;0,15
silókukorica;Foszfor;5;igen gyenge;0,5
silókukorica;Foszfor;5;gyenge;0,45
silókukorica;Foszfor;5;közepes;0,2
silókukorica;Foszfor;5;jó;0,15
silókukorica;Foszfor;5;igen jó;0,1
silókukorica;Foszfor;6;igen gyenge;0,3
silókukorica;Foszfor;6;gyenge;0,3
silókukorica;Foszfor;6;közepes;0,25
silókukorica;Foszfor;6;jó;0,2
silókukorica;Foszfor;6;igen jó;0,15
silókukorica;Kalium;1;igen gyenge;0,5
silókukorica;Kalium;1;gyenge;0,45
silókukorica;Kalium;1;közepes;0,36
silókukorica;Kalium;1;jó;0,3
silókukorica;Kalium;1;igen jó;0,2
